Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate
室蘭はだしっこ共同子供園,室蘭はだしっこ共同子供園,ＮＰＯ法人室蘭はだしっこ共同子供園,私立,Ｙ,Ｎ,Ｎ,認可外保育所,室蘭市輪西町1-4-3,,42.332458,141.005915,,47-3715,,36,,,7:30,19:30,,18：30～19：30,Ｙ,Ｙ,Ｎ,,,
こどもの森幼保園,こどもの森幼保園,ＮＰＯ法人こどもの森幼保園,私立,Ｙ,Ｎ,Ｎ,認可外保育所,室蘭市輪西町1-29-5,,42.334408,141.009134,,47-6114,,30,,,8:00,18:00,,17：00～18：00,Ｙ,Ｎ,Ｎ,,,
室蘭美園幼稚園,室蘭美園幼稚園,学校法人美園学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市東町1-20-23,,42.343782,141.023436,,43-3130,,210,,,,,,,,,,,,
八丁平美園幼稚園,八丁平美園幼稚園,学校法人美園学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市八丁平5-47-1,,42.364381,141.007962,,41-3456,,140,,,,,,,,,,,,
すみれ文化幼稚園,すみれ文化幼稚園,学校法人北斗文化学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市母恋南町2-11-9,,42.312753,140.994014,,25-6611,,120,,,,,,,,,,,,
室蘭幼稚園,室蘭幼稚園,学校法人おおぞら学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市御前水町2-8-19,,42.320519,140.999769,,23-2554,,225,,,,,,,,,,,,
桜ヶ丘幼稚園,桜ヶ丘幼稚園,学校法人ならの実学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市港北町2-26-30,,42.363648,140.989713,,58-3265,,100,,,,,,,,,,,,
ベネディクト幼稚園,ベネディクト幼稚園,学校法人海星学院,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市高砂町3-7-7,,42.364956,141.032142,,46-2525,,120,,,,,,,,,,,,
室蘭中島幼稚園,室蘭中島幼稚園,学校法人室蘭中島学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市中島本町1-8-5,,42.353159,141.008489,,44-1870,,210,,,,,,,,,,,,
ピノキオ幼稚園,ピノキオ幼稚園,学校法人坂本学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市白鳥台2-4-2,,42.375559,140.936219,,59-2295,,200,,,,,,,,,,,,
文化学園大学附属幼稚園,文化学園大学附属幼稚園,学校法人文化学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市高砂町3-11-50,,42.365631,141.035527,,44-0566,,105,,,,,,,,,,,,
清泉幼稚園,清泉幼稚園,学校法人明星学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市祝津町3-10-7,,42.335656,140.944689,,27-5444,,140,,,,,,,,,,,,
室蘭めばえ幼稚園,室蘭めばえ幼稚園,学校法人北海道キリスト教学園,私立,Ｎ,Ｎ,Ｎ,幼稚園,室蘭市知利別町2-15-15,,42.360225,141.02403,,44-2388,,90,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
