Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate,Remarks,Parking,Bus,Uniform,Smock,Lunch,Cost,Competition,Openingdate,Playground,Playroom,Pool,Sakidori_auth,Hoikuroom_auth
はまかぜ保育園,はまかぜ保育園,,私立,Y,N,N,認可保育所,千葉市中央区中央港1-24-14 1F,,35.6077635,140.1008716,,238-1191,,40,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,体操服あり,1.1,,,,,,
ひなたぼっこ保育園,ひなたぼっこ保育園,,私立,Y,N,N,認可保育所,千葉市中央区新宿2-5-13 2F,,35.6070455,140.1161122,,242-6870,,39,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,,1.1,,,,,,
ピラミッドメソッド千葉保育園,ピラミッドメソッド千葉保育園,,私立,Y,N,N,認可保育所,千葉市中央区新田町7-16,,35.6081284,140.1135484,,239-6008,,59,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,,1.05,,,,,,
ふぇりーちぇほいくえん,ふぇりーちぇほいくえん,,私立,Y,N,N,認可保育所,千葉市中央区祐光2-7-8,,35.6168498,140.1239636,,221-7755,,59,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,,,,,,,0.14,,,,,,
本千葉エンゼルホーム保育園,本千葉エンゼルホーム保育園,,私立,Y,N,N,認可保育所,千葉市中央区港町16-37,,35.6006245,140.1207845,,215-8886,,40,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,Y,,0.78,,,,,,
松ヶ丘保育園,松ヶ丘保育園,,公立,Y,N,N,認可保育所,千葉市中央区松ケ丘町563-1,,35.5858621,140.1547665,,265-7568,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,体操服あり,1.07,,,,,,
みなと公園のぞみ保育園,みなと公園のぞみ保育園,,私立,Y,N,N,認可保育所,千葉市中央区中央港1-1-1,,35.6068166,140.1027854,,246-7806,,90,0,5,7:00,20:00,N,,Y,Y,N,N,Y,20161028,,0,,N,N,Y,,0.97,,,,,,
明徳浜野駅保育園,明徳浜野駅保育園,,私立,Y,N,N,認可保育所,千葉市中央区村田町668-2,,35.5517787,140.1318588,,497-6326,,36,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,,1.25,,,,,,
ルーチェ保育園千葉新田町,ルーチェ保育園千葉新田町,,私立,Y,N,N,認可保育所,千葉市中央区新田町33-1 1F,,35.607556,140.110257,,306-7655,,59,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,0,,N,Y,Y,,0.73,,,,,,
ローゼンそが保育園,ローゼンそが保育園,,私立,Y,N,N,認可保育所,千葉市中央区蘇我5-44-2,,35.5693992,140.1392124,,308-4110,,90,0,5,7:00,20:00,N,,Y,Y,N,N,Y,20161028,,12,,N,N,Y,,1.12,,,,,,
青葉の森保育館,青葉の森保育館,,私立,Y,N,N,認可保育所,千葉市中央区千葉寺町1210-7,,35.5934585,140.1351552,,208-7219,,15,0,2,7:00,19:00,N,,Y,N,N,N,Y,20161028,,2,,N,N,,,0.93,,,,,,
おひさまのおうち,おひさまのおうち,,私立,Y,N,N,認可保育所,千葉市中央区新宿2-11-6,,35.6060456,140.1158596,,302-7188,,13,0,2,7:00,20:00,N,,Y,N,N,N,Y,20161028,,2,,N,N,,,0.92,,,,,,
キッズパティオ西千葉園,キッズパティオ西千葉園,,私立,Y,N,N,認可保育所,千葉市中央区松波2-18-11,,35.6227337,140.1065008,,256-6378,,12,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,,,0.67,,,,,,
キッズルームチャコ千葉園,キッズルームチャコ千葉園,,私立,Y,N,N,認可保育所,千葉市中央区院内2-17-25,,35.6118313,140.1262111,,225-6503,,18,0,2,7:00,翌7：00,Y,,Y,Y,Y,Y,N,20161028,,4,,N,N,,,1.06,,,,,,
そらまめ千葉西口駅前園,そらまめ千葉西口駅前園,,私立,Y,N,N,認可保育所,千葉市中央区新千葉1-7-9,,35.6120526,140.1115844,,306-3627,,19,0,2,7:00,21:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,0.89,,,,,,
千葉わくわく園,千葉わくわく園,,私立,Y,N,N,認可保育所,千葉市中央区登戸1－11－18,,35.6100221,140.1083265,,242-7737,,19,0,2,7:00,20:00,N,,Y,Y,N,N,N,20161028,,0,,N,N,,,0.74,,,,,,
ナーサリー・アーク,ナーサリー・アーク,,私立,Y,N,N,認可保育所,千葉市中央区松波1-19-8,,35.6192622,140.107587,,441-5500,,12,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,0.75,,,,,,
西千葉たんぽぽ保育室,西千葉たんぽぽ保育室,,私立,Y,N,N,認可保育所,千葉市中央区松波4-22-10,,35.6239783,140.1108947,,307-3418,,12,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,1,,,,,,
ニチイキッズ千葉中央第一,ニチイキッズ千葉中央第一,,私立,Y,N,N,認可保育所,千葉市中央区本千葉町1-1,,35.6080094,140.1187536,,202-2188,,19,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,0.79,,,,,,
ニチイキッズ千葉中央第二,ニチイキッズ千葉中央第二,,私立,Y,N,N,認可保育所,千葉市中央区本千葉町1-1,,35.6080094,140.1187536,,202-2215,,19,0,2,7:00,20:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,,,0.63,,,,,,
ぷち・いろは保育園,ぷち・いろは保育園,,私立,Y,N,N,認可保育所,千葉市中央区神明町201-2,,35.6052099,140.1185956,,306-4700,,15,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,,,0.87,,,,,,
星のおうち千葉中央,星のおうち千葉中央,,私立,Y,N,N,認可保育所,千葉市中央区神明町202-5,,35.6045932,140.1172985,,306-7013,,15,0,2,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,1,,,,,,
ほしのこキッズルーム,ほしのこキッズルーム,,私立,Y,N,N,認可保育所,千葉市中央区新千葉2-14-6,,35.6121969,140.1101345,,306-9410,,19,0,2,7:00,19:30,N,,Y,N,N,N,N,20161028,,0,,N,N,,,0.84,,,,,,
千葉医療センターつばき保育園（地域枠）,千葉医療センターつばき保育園（地域枠）,,私立,Y,Y,N,認可保育所,千葉市中央区椿森4-1-2,,35.6232875,140.1216493,,207-4176,,10,0,2,7:30,19:00,N,,Y,N,N,N,N,20161028,,16,,N,N,,,0.7,,,,,,
こてはし台保育所,こてはし台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区こてはし台5-12,,35.6902971,140.1204387,,257-4512,,150,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,15,,N,N,N,,1.03,19800331,,,Y,,
さつきが丘第一保育所,さつきが丘第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区さつきが丘2-32-1,,35.6664852,140.092698,,259-7567,,150,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,3,,N,N,N,,0.94,19730402,,,Y,,
さつきが丘第二保育所,さつきが丘第二保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区さつきが丘1-32-1,,35.6652049,140.0963422,,250-7121,,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,15,,N,N,N,,1.28,19800331,,,Y,,
長作保育所,長作保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区長作町739-3,,35.6746536,140.0722052,,259-6541,,60,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,,1.27,19820331,,,Y,,
西小中台保育所,西小中台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区西小中台5-20,,35.6518535,140.0873767,,271-1955,,100,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,4,,N,N,N,,1.24,,,,Y,,
花見川第一保育所,花見川第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区花見川3-23-101,,35.6907412,140.0953608,,259-1280,,120,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,3,,N,N,N,,0.83,,,,Y,,
花見川第二保育所,花見川第二保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区花見川2-41-101,,35.6876637,140.0940333,,259-5364,,155,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,,0.92,19691027,,,Y,,
花見川第三保育所,花見川第三保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区花見川4-2,,35.695513,140.0990741,,259-3542,,100,0,5,7:00,19:00,N,,Y,Y,N,N,N,20161028,,5,,N,N,N,,0.83,19720930,,,Y,,
幕張第一保育所,幕張第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区幕張町5-417-260,,35.6550475,140.0533102,,273-8763,,85,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,,1.42,,,,Y,,
幕張第二保育所,幕張第二保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区幕張町4-636,,35.6616162,140.0577874,,273-7118,,130,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,7,,N,N,N,,1.3,,,,Y,,
幕張第三保育所,幕張第三保育所,千葉市,公立,Y,N,N,認可保育所,千葉市花見川区幕張町3-7730-5,,35.6565555,140.0482078,,272-5490,,150,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,2,,N,N,N,,1.07,19790331,,,Y,,
あい・あい保育園 幕張園,あい・あい保育園 幕張園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張町5-150-15,,35.6580222,140.0559321,,296-7098,,29,0,5,7:00,20:00,N,一時預かりは不定期利用のみ,Y,Y,N,N,Y,20161028,,1,,N,N,Y,,1.03,,,,,,
泉保育園,泉保育園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張本郷6-21-20,,35.6762253,140.0447409,,441-3551,,60,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,Y,,1.03,,,,,,
新検見川すきっぷ保育園,新検見川すきっぷ保育園,,私立,Y,N,N,認可保育所,千葉市花見川区花園町1573-1,,35.6517285,140.0793719,,306-7245,,40,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,10,,N,N,Y,,1.3,,,,,,
スクルドエンジェル保育園幕張園,スクルドエンジェル保育園幕張園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張町2-1411,,35.66556,140.0484909,,306-3783,,27,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,,0.89,,,,,,
ちどり保育園,ちどり保育園,,私立,Y,N,N,認可保育所,千葉市花見川区検見川町3-331-4,,35.646268,140.0694924,,271-7828,,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,Y,Y,体操服あり,1.08,,,,,,
ぴょんぴょん保育園,ぴょんぴょん保育園,,私立,Y,N,N,認可保育所,千葉市花見川区作新台1-6-11,,35.6904995,140.0916307,,257-6730,,20,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,0,,N,Y,Y,,0.7,,,,,,
ほのぼのたんぽぽ保育園,ほのぼのたんぽぽ保育園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張本郷1-20-9,,35.6718145,140.0379389,,271-4152,,59,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,Y,Y,体操服あり,1.1,,,,,,
幕張いもっこ保育園,幕張いもっこ保育園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張町4-608-1,,35.6604191,140.0557238,,299-8116,,135,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,,1.01,,,,,,
幕張本郷きらきら保育園,幕張本郷きらきら保育園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張本郷5-8-8,,35.6735173,140.0461381,,350-0415,,59,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,,1.19,,,,,,
幕張本郷すきっぷ保育園,幕張本郷すきっぷ保育園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張本郷6-27-10,,35.674156,140.04333,,215-8871,,56,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,Y,,0.77,,,,,,
幕張本郷ナーサリー,幕張本郷ナーサリー,,私立,Y,N,N,認可保育所,千葉市花見川区幕張本郷2-21-1,,35.668226,140.0386278,,272-5666,,48,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,N,N,Y,,0.96,,,,,,
みどり保育園,みどり保育園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張町2-972,,35.6623993,140.0488437,,272-3610,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,6,,N,N,Y,体操服あり,1.02,,,,,,
キッズスペース・ウィーピー幕張本郷,キッズスペース・ウィーピー幕張本郷,,私立,Y,N,N,認可保育所,千葉市花見川区幕張本郷2-6-4,,35.6702176,140.0429135,,213-8311,,19,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,N,N,,,1,,,,,,
Kid's Patio まくはり園,Kid's Patio まくはり園,,私立,Y,N,N,認可保育所,千葉市花見川区幕張町5-498-2,,35.6587165,140.0542239,,306-9368,,18,0,2,7:30,20:30,N,,Y,N,N,N,Y,20161028,,4,,N,N,,,1,,,,,,
星のおうち,星のおうち,,私立,Y,N,N,認可保育所,千葉市花見川区幕張町4-586-1,,35.6599608,140.0540573,,306-5122,,9,0,2,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,1,,,,,,
ウィズダムナーサリースクール,ウィズダムナーサリースクール,,私立,Y,N,Y,認可保育所,千葉市稲毛区園生町787-4,,35.6460801,140.1066775,,287-0008,,50,0,5,7:00,20:00,N,一時預かりは不定期利用のみ,Y,Y,N,N,N,20161028,,4,,Y,Y,Y,体操服あり、特定負担あり,1.02,,,,,,
小ばと幼稚園,小ばと幼稚園,,私立,Y,N,Y,認可保育所,千葉市稲毛区天台1-7-17,,35.6329686,140.1135743,,251-6471,,50,0,5,7:30,18:30,N,,N,N,N,N,N,20161028,,22,,Y,Y,Y,体操服あり、特定負担あり,0.54,,,,,,
あやめ台第一保育所,あやめ台第一保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区あやめ台1-15-101,,35.6491413,140.1165042,,252-5756,,100,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,2,,N,N,N,,1.25,,,,Y,,
あやめ台第二保育所,あやめ台第二保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区あやめ台3-19,,35.648405,140.1115298,,254-6130,,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,,0.88,19720804,,,Y,,
黒砂保育所,黒砂保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区黒砂2-4-24,,35.6268377,140.0936046,,246-1161,,90,0,5,7:00,19:00,N,,Y,Y,N,N,N,20161028,,6,,N,N,N,,1.44,19740918,,,Y,,
小中台保育所,小中台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区小仲台9-30-2,,35.6478711,140.0970091,,252-0608,,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,1.27,19970731,,,Y,,
小深保育所,小深保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区小深町261-7,,35.6608751,140.1502411,,423-0062,,80,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,,1.15,19730331,,,Y,,
園生保育所,園生保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区園生町1325-1,,35.6524857,140.1239452,,252-2818,,110,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,,1.25,19740910,,,Y,,
千草台保育所,千草台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区千草台1-1-27,,35.6356406,140.1183208,,251-6307,,120,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,7,,N,N,N,,1.38,19830331,,,Y,,
天台保育所,天台保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区天台1-10-6,,35.6310051,140.114541,,253-1442,,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,1.08,19730331,,,Y,,
轟保育所,轟保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区轟町1-12-13,,35.6247336,140.1101892,,251-5105,,160,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,N,,1.18,19850330,,,Y,,
長沼原保育所,長沼原保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区長沼原町242-2,,35.6701025,140.1243451,,259-2848,,70,0,5,7:00,19:00,N,,Y,N,N,N,Y,20161028,,10,,N,N,N,,1.14,19700305,,,Y,,
緑町保育所,緑町保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区緑町2-22-1,,35.6232884,140.0954129,,241-0837,,80,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,1.13,19670419,,,Y,,
宮野木保育所,宮野木保育所,千葉市,公立,Y,N,N,認可保育所,千葉市稲毛区園生町238-56,,35.6523402,140.1017391,,255-4661,,150,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,1.32,19760219,,,Y,,
アストロキャンプ稲毛東保育園,アストロキャンプ稲毛東保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区稲毛東4-2-21,,35.6378552,140.0896547,,247-1510,,40,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,2,,N,N,Y,,1.15,,,,,,
アストロナーサリー小仲台,アストロナーサリー小仲台,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台7-10-36,,35.6444378,140.0892295,,306-1510,,30,0,5,7:00,20:00,N,,Y,Y,N,N,Y,20161028,,3,,N,N,Y,,1.27,,,,,,
稲毛保育園,稲毛保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台2-10-1,,35.6380722,140.0945652,,251-8196,,140,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,0,,N,N,N,,1.35,,,,,,
稲毛すきっぷ保育園,稲毛すきっぷ保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台6-12-16,,35.6400552,140.0934236,,290-5615,,48,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,2,,N,N,Y,,1,,,,,,
稲毛ひだまり保育園,稲毛ひだまり保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台5-3-2,,35.6413969,140.0963482,,206-1321,,59,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,5,,N,N,N,,1.05,,,,,,
いなほ保育園,いなほ保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区稲毛東2-17-13 2F,,35.6377691,140.0880965,,244-7261,,50,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,Y,,1.3,,,,,,
ココファン・ナーサリー稲毛,ココファン・ナーサリー稲毛,,私立,Y,N,N,認可保育所,千葉市稲毛区稲毛東3-12-2,,35.6351807,140.0924197,,243-9151,,59,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,N,N,Y,,1.14,,,,,,
ココファン・ナーサリー稲毛東,ココファン・ナーサリー稲毛東,,私立,Y,N,N,認可保育所,千葉市稲毛区稲毛東4-8-10,,35.6385524,140.0901574,,243-3531,,56,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,0,,N,N,Y,,0.98,,,,,,
作草部保育園,作草部保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区作草部町698-3,,35.6278452,140.1247154,,256-1753,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,Y,N,N,体操服あり,1.17,,,,,,
山王保育園,山王保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区山王町153-16,,35.6649598,140.1401249,,304-1188,,45,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,4,,N,N,N,,1.33,,,,,,
ししの子保育園,ししの子保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台3-8-5,,35.6386834,140.0972232,,305-4367,,58,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,Y,,0.78,,,,,,
チャイルド・ガーデン保育園,チャイルド・ガーデン保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台8-4-6 2F,,35.6383054,140.0925627,,206-8600,,110,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,3,,Y,Y,Y,体操服あり,1.15,,,,,,
南小中台保育園,南小中台保育園,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台8-21-1,,35.6447711,140.0903183,,256-1330,,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,Y,Y,,1.01,,,,,,
アストロミニキャンプ小仲台,アストロミニキャンプ小仲台,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台6-9-1,,35.6405995,140.0920015,,306-4800,,9,0,2,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,,,1.11,,,,,,
キッズルームチャコ稲毛園,キッズルームチャコ稲毛園,,私立,Y,N,N,認可保育所,千葉市稲毛区小仲台6-2-10,,35.6384942,140.0925404,,207-4088,,18,0,2,7:00,22:00,N,,Y,Y,Y,Y,N,20161028,,2,,N,N,,,1,,,,,,
